"Code";"Name";"grand total;2023;[PLN]";
0606000;"Powiat krasnostawski";6131.62;
0607000;"Powiat kraśnicki";5937.05;
0608000;"Powiat lubartowski";5894.65;
0609000;"Powiat lubelski";5868.83;
0610000;"Powiat łęczyński";10420.06;
0611000;"Powiat łukowski";5816.88;
0612000;"Powiat opolski";5808.93;
0613000;"Powiat parczewski";6140.77;
0614000;"Powiat puławski";6871.29;
0615000;"Powiat radzyński";6233.24;
0616000;"Powiat rycki";5946.05;
0617000;"Powiat świdnicki";6954.42;
0618000;"Powiat tomaszowski";5859.33;
0619000;"Powiat włodawski";6000.38;
0620000;"Powiat zamojski";5642.09;
0661000;"City with powiat status Biała Podlaska";6400.24;
0662000;"City with powiat status Chełm";6349.53;
0663000;"City with powiat status Lublin";7443.57;
0664000;"City with powiat status Zamość";6679.65;
0800000;"LUBUSKIE";6882.46;
0801000;"Powiat gorzowski";7139.07;
0802000;"Powiat krośnieński";6637.01;
0803000;"Powiat międzyrzecki";6625.23;
0804000;"Powiat nowosolski";6766.75;
0805000;"Powiat słubicki";6701.31;
0806000;"Powiat strzelecko-drezdenecki";6383.30;
0807000;"Powiat sulęciński";6018.27;
0808000;"Powiat świebodziński";6975.86;
0809000;"Powiat zielonogórski";6866.37;
0810000;"Powiat żagański";6259.95;
0811000;"Powiat żarski";6929.71;
0812000;"Powiat wschowski";6247.33;
0861000;"City with powiat status Gorzów Wielkopolski";6713.76;
0862000;"City with powiat status Zielona Góra";7487.10;
1000000;"ŁÓDZKIE";7052.93;
1001000;"Powiat bełchatowski";9268.84;
1002000;"Powiat kutnowski";6598.59;
1003000;"Powiat łaski";5879.09;
1004000;"Powiat łęczycki";6905.17;
1005000;"Powiat łowicki";6192.74;
1006000;"Powiat łódzki wschodni";6313.01;
1007000;"Powiat opoczyński";6391.34;
1008000;"Powiat pabianicki";6349.64;
1009000;"Powiat pajęczański";6143.74;
1010000;"Powiat piotrkowski";5846.87;
1011000;"Powiat poddębicki";8302.47;
1012000;"Powiat radomszczański";6032.02;
1013000;"Powiat rawski";6172.78;
1014000;"Powiat sieradzki";6435.58;
1015000;"Powiat skierniewicki";6092.92;
1016000;"Powiat tomaszowski";6341.69;
1017000;"Powiat wieluński";6238.07;
1018000;"Powiat wieruszowski";5645.70;
1019000;"Powiat zduńskowolski";6087.95;
1020000;"Powiat zgierski";6749.27;
1021000;"Powiat brzeziński";6050.65;
1061000;"City with powiat status Łódź";7548.10;
1062000;"City with powiat status Piotrków Trybunalski";6168.36;
1063000;"City with powiat status Skierniewice";6503.98;
1200000;"MAŁOPOLSKIE";7736.56;
1201000;"Powiat bocheński";6184.90;
1202000;"Powiat brzeski";5894.20;
1203000;"Powiat chrzanowski";6898.73;
1204000;"Powiat dąbrowski";6065.58;
1205000;"Powiat gorlicki";5761.59;
1206000;"Powiat krakowski";7252.41;
1207000;"Powiat limanowski";5935.46;
1208000;"Powiat miechowski";6131.46;
1209000;"Powiat myślenicki";6224.14;
1210000;"Powiat nowosądecki";5909.25;
1211000;"Powiat nowotarski";5858.04;
1212000;"Powiat olkuski";6553.06;
1213000;"Powiat oświęcimski";6512.03;
1214000;"Powiat proszowicki";6178.05;
1215000;"Powiat suski";6182.10;
1216000;"Powiat tarnowski";5678.11;
1217000;"Powiat tatrzański";6396.51;
1218000;"Powiat wadowicki";6048.26;
1219000;"Powiat wielicki";7019.50;
1261000;"City with powiat status Kraków";9223.73;
1262000;"City with powiat status Nowy Sącz";6253.50;
1263000;"City with powiat status Tarnów";7650.54;
1400000;"MAZOWIECKIE";8928.60;
1401000;"Powiat białobrzeski";6300.44;
1402000;"Powiat ciechanowski";6842.35;
