"Code";"Name";"total;2023;[%]";
2262000;"City with powiat status Gdynia";2.0;
2263000;"City with powiat status Słupsk";3.7;
2264000;"City with powiat status Sopot";1.9;
2400000;"ŚLĄSKIE";3.6;
2401000;"Powiat będziński";5.4;
2402000;"Powiat bielski";3.0;
2403000;"Powiat cieszyński";5.1;
2404000;"Powiat częstochowski";6.2;
2405000;"Powiat gliwicki";3.5;
2406000;"Powiat kłobucki";7.5;
2407000;"Powiat lubliniecki";5.1;
2408000;"Powiat mikołowski";2.6;
2409000;"Powiat myszkowski";6.1;
2410000;"Powiat pszczyński";3.2;
2411000;"Powiat raciborski";3.3;
2412000;"Powiat rybnicki";4.6;
2413000;"Powiat tarnogórski";4.3;
2414000;"Powiat bieruńsko-lędziński";1.3;
2415000;"Powiat wodzisławski";5.2;
2416000;"Powiat zawierciański";5.5;
2417000;"Powiat żywiecki";5.0;
2461000;"City with powiat status Bielsko-Biała";1.9;
2462000;"City with powiat status Bytom";8.2;
2463000;"City with powiat status Chorzów";3.5;
2464000;"City with powiat status Częstochowa";3.1;
2465000;"City with powiat status Dąbrowa Górnicza";4.6;
2466000;"City with powiat status Gliwice";2.1;
2467000;"City with powiat status Jastrzębie-Zdrój";3.6;
2468000;"City with powiat status Jaworzno";3.9;
2469000;"City with powiat status Katowice";1.0;
2470000;"City with powiat status Mysłowice";4.2;
2471000;"City with powiat status Piekary Śląskie";7.4;
2472000;"City with powiat status Ruda Śląska";2.7;
2473000;"City with powiat status Rybnik";2.7;
2474000;"City with powiat status Siemianowice Śląskie";3.8;
2475000;"City with powiat status Sosnowiec";5.6;
2476000;"City with powiat status Świętochłowice";4.3;
2477000;"City with powiat status Tychy";1.6;
2478000;"City with powiat status Zabrze";4.2;
2479000;"City with powiat status Żory";3.1;
2600000;"ŚWIĘTOKRZYSKIE";7.8;
2601000;"Powiat buski";4.2;
2602000;"Powiat jędrzejowski";7.0;
2603000;"Powiat kazimierski";10.6;
2604000;"Powiat kielecki";6.9;
2605000;"Powiat konecki";10.5;
2606000;"Powiat opatowski";15.4;
2607000;"Powiat ostrowiecki";10.5;
2608000;"Powiat pińczowski";7.0;
2609000;"Powiat sandomierski";7.9;
2610000;"Powiat skarżyski";14.5;
2611000;"Powiat starachowicki";10.0;
2612000;"Powiat staszowski";6.9;
2613000;"Powiat włoszczowski";6.7;
2661000;"City with powiat status Kielce";4.6;
2800000;"WARMIŃSKO-MAZURSKIE";8.3;
2801000;"Powiat bartoszycki";17.6;
2802000;"Powiat braniewski";14.5;
2803000;"Powiat działdowski";12.7;
2804000;"Powiat elbląski";12.7;
2805000;"Powiat ełcki";10.7;
2806000;"Powiat giżycki";9.1;
2807000;"Powiat iławski";4.3;
2808000;"Powiat kętrzyński";16.0;
2809000;"Powiat lidzbarski";10.5;
2810000;"Powiat mrągowski";8.6;
2811000;"Powiat nidzicki";7.0;
2812000;"Powiat nowomiejski";10.5;
2813000;"Powiat olecki";13.9;
2814000;"Powiat olsztyński";6.4;
2815000;"Powiat ostródzki";8.6;
2816000;"Powiat piski";12.5;
2817000;"Powiat szczycieński";9.1;
2818000;"Powiat gołdapski";8.1;
2819000;"Powiat węgorzewski";12.5;
2861000;"City with powiat status Elbląg";6.3;
2862000;"City with powiat status Olsztyn";2.1;
3000000;"WIELKOPOLSKIE";3.0;
3001000;"Powiat chodzieski";7.5;
3002000;"Powiat czarnkowsko-trzcianecki";4.8;
3003000;"Powiat gnieźnieński";4.6;
3004000;"Powiat gostyński";5.2;
3005000;"Powiat grodziski";4.6;
3006000;"Powiat jarociński";4.3;
3007000;"Powiat kaliski";3.1;
3008000;"Powiat kępiński";1.5;
3009000;"Powiat kolski";4.0;
3010000;"Powiat koniński";8.4;
3011000;"Powiat kościański";3.0;
3012000;"Powiat krotoszyński";2.6;
3013000;"Powiat leszczyński";2.5;
3014000;"Powiat międzychodzki";4.6;
3015000;"Powiat nowotomyski";2.5;
3016000;"Powiat obornicki";3.0;
3017000;"Powiat ostrowski";3.0;
3018000;"Powiat ostrzeszowski";3.6;
3019000;"Powiat pilski";4.9;
3020000;"Powiat pleszewski";3.3;
3021000;"Powiat poznański";1.0;
3022000;"Powiat rawicki";3.6;
3023000;"Powiat słupecki";7.2;
3024000;"Powiat szamotulski";3.4;
3025000;"Powiat średzki";5.5;
3026000;"Powiat śremski";2.3;
3027000;"Powiat turecki";4.0;
3028000;"Powiat wągrowiecki";5.5;
3029000;"Powiat wolsztyński";1.9;
3030000;"Powiat wrzesiński";3.5;
3031000;"Powiat złotowski";5.0;
3061000;"City with powiat status Kalisz";3.3;
3062000;"City with powiat status Konin";5.7;
3063000;"City with powiat status Leszno";3.0;
3064000;"City with powiat status Poznań";1.0;
3200000;"ZACHODNIOPOMORSKIE";6.7;
3201000;"Powiat białogardzki";16.5;
3202000;"Powiat choszczeński";16.0;
3203000;"Powiat drawski";10.9;
3204000;"Powiat goleniowski";3.8;
3205000;"Powiat gryficki";8.3;
3206000;"Powiat gryfiński";6.5;
3207000;"Powiat kamieński";13.8;
3208000;"Powiat kołobrzeski";2.0;
3209000;"Powiat koszaliński";11.3;
3210000;"Powiat myśliborski";6.2;
3211000;"Powiat policki";3.0;
3212000;"Powiat pyrzycki";10.5;
3213000;"Powiat sławieński";13.5;
3214000;"Powiat stargardzki";7.2;
3215000;"Powiat szczecinecki";14.3;
3216000;"Powiat świdwiński";13.3;
3217000;"Powiat wałecki";9.0;
3218000;"Powiat łobeski";15.9;
3261000;"City with powiat status Koszalin";4.3;
3262000;"City with powiat status Szczecin";3.6;
3263000;"City with powiat status Świnoujście";4.2;
