"Code";"Name";"total;total;2018;[person]";"total;total;2019;[person]";"total;total;2020;[person]";"total;total;2021;[person]";"total;total;2022;[person]";"total;total;2023;[person]";
3064000;"City with powiat status Poznań";61;97;80;93;112;118;
3201000;"Powiat białogardzki";4;17;7;13;11;16;
3202000;"Powiat choszczeński";13;16;37;23;26;15;
3203000;"Powiat drawski";10;16;21;17;22;35;
3204000;"Powiat goleniowski";26;26;30;49;53;60;
3205000;"Powiat gryficki";8;11;16;9;10;16;
3206000;"Powiat gryfiński";7;11;9;11;8;9;
3207000;"Powiat kamieński";11;15;30;15;12;8;
3208000;"Powiat kołobrzeski";29;27;37;38;47;62;
3209000;"Powiat koszaliński";52;42;24;64;53;76;
3210000;"Powiat myśliborski";11;14;13;3;8;17;
3211000;"Powiat policki";14;15;14;18;12;8;
3212000;"Powiat pyrzycki";20;35;20;22;27;22;
3213000;"Powiat sławieński";19;27;38;34;40;51;
3214000;"Powiat stargardzki";34;54;49;64;67;83;
3215000;"Powiat szczecinecki";32;29;26;37;32;39;
3216000;"Powiat świdwiński";9;14;13;15;19;12;
3217000;"Powiat wałecki";13;8;14;18;24;24;
3218000;"Powiat łobeski";20;19;23;14;21;28;
3261000;"City with powiat status Koszalin";52;42;24;64;53;76;
3262000;"City with powiat status Szczecin";74;122;95;114;99;81;
3263000;"City with powiat status Świnoujście";15;8;13;16;11;20;
