"Code";"Name";"registrations of departure, total;total;2021;[person]";"registrations of departure, total;total;2022;[person]";"registrations of departure, total;total;2023;[person]";
1605000;"Powiat krapkowicki";781;639;638;
1606000;"Powiat namysłowski";610;566;533;
1607000;"Powiat nyski";1706;1672;1637;
1608000;"Powiat oleski";747;681;662;
1609000;"Powiat opolski";1431;1282;1140;
1610000;"Powiat prudnicki";716;672;625;
1611000;"Powiat strzelecki";915;906;860;
1801000;"Powiat bieszczadzki";284;308;249;
1802000;"Powiat brzozowski";733;639;683;
1803000;"Powiat dębicki";1542;1540;1402;
1804000;"Powiat jarosławski";1439;1435;1276;
1805000;"Powiat jasielski";1199;1156;1075;
1806000;"Powiat kolbuszowski";601;525;548;
1807000;"Powiat krośnieński";1070;1191;1140;
1808000;"Powiat leżajski";764;820;820;
1809000;"Powiat lubaczowski";738;748;614;
1810000;"Powiat łańcucki";809;739;700;
1811000;"Powiat mielecki";1373;1320;1266;
1812000;"Powiat niżański";737;735;724;
1813000;"Powiat przemyski";925;901;815;
1814000;"Powiat przeworski";915;928;807;
1815000;"Powiat ropczycko-sędziszowski";732;736;740;
1816000;"Powiat rzeszowski";1699;1689;1588;
1817000;"Powiat sanocki";981;928;907;
1818000;"Powiat stalowowolski";1410;1338;1341;
1819000;"Powiat strzyżowski";634;552;608;
1820000;"Powiat tarnobrzeski";571;437;499;
1821000;"Powiat leski";309;302;271;
2001000;"Powiat augustowski";645;569;528;
2002000;"Powiat białostocki";1783;1734;1820;
2003000;"Powiat bielski";719;691;634;
2004000;"Powiat grajewski";581;557;532;
2005000;"Powiat hajnowski";471;477;470;
2006000;"Powiat kolneński";417;475;441;
2007000;"Powiat łomżyński";606;607;588;
2008000;"Powiat moniecki";517;496;462;
2009000;"Powiat sejneński";232;250;182;
2010000;"Powiat siemiatycki";577;553;522;
2011000;"Powiat sokólski";779;766;765;
2012000;"Powiat suwalski";589;504;506;
2013000;"Powiat wysokomazowiecki";736;646;716;
2014000;"Powiat zambrowski";564;474;512;
2201000;"Powiat bytowski";1123;1014;923;
2202000;"Powiat chojnicki";1139;1199;1049;
2203000;"Powiat człuchowski";756;751;625;
2204000;"Powiat gdański";1634;1505;1660;
2205000;"Powiat kartuski";1489;1557;1525;
2206000;"Powiat kościerski";782;811;794;
2207000;"Powiat kwidzyński";1015;982;860;
2208000;"Powiat lęborski";833;870;854;
2209000;"Powiat malborski";842;834;767;
2210000;"Powiat nowodworski";465;387;370;
2211000;"Powiat pucki";960;1055;1056;
2212000;"Powiat słupski";1542;1546;1417;
2213000;"Powiat starogardzki";1525;1398;1465;
2214000;"Powiat tczewski";1305;1367;1401;
2215000;"Powiat wejherowski";2883;2817;2797;
2216000;"Powiat sztumski";601;594;496;
2401000;"Powiat będziński";1673;1600;1605;
2402000;"Powiat bielski";1687;1524;1555;
2403000;"Powiat cieszyński";1899;1754;1716;
2404000;"Powiat częstochowski";1216;1303;1274;
2405000;"Powiat gliwicki";1286;1205;1241;
2406000;"Powiat kłobucki";807;774;778;
2407000;"Powiat lubliniecki";911;818;680;
2408000;"Powiat mikołowski";1175;1062;1041;
2409000;"Powiat myszkowski";664;708;577;
2410000;"Powiat pszczyński";1369;1219;1186;
2411000;"Powiat raciborski";1193;1137;1093;
2412000;"Powiat rybnicki";878;761;770;
2413000;"Powiat tarnogórski";1378;1289;1341;
2414000;"Powiat bieruńsko-lędziński";659;624;652;
2415000;"Powiat wodzisławski";1934;1772;1665;
2416000;"Powiat zawierciański";1109;1085;1089;
2417000;"Powiat żywiecki";1459;1398;1262;
2601000;"Powiat buski";789;688;682;
2602000;"Powiat jędrzejowski";978;883;956;
2603000;"Powiat kazimierski";323;328;293;
2604000;"Powiat kielecki";2076;2136;2139;
2605000;"Powiat konecki";845;889;819;
2606000;"Powiat opatowski";569;619;578;
2607000;"Powiat ostrowiecki";1165;1153;1099;
2608000;"Powiat pińczowski";444;400;333;
2609000;"Powiat sandomierski";872;779;753;
2610000;"Powiat skarżyski";791;794;797;
2611000;"Powiat starachowicki";775;834;710;
2612000;"Powiat staszowski";842;902;797;
2613000;"Powiat włoszczowski";410;473;440;
2801000;"Powiat bartoszycki";980;862;854;
2802000;"Powiat braniewski";625;561;584;
2803000;"Powiat działdowski";888;876;850;
2804000;"Powiat elbląski";826;786;785;
2805000;"Powiat ełcki";1152;1070;1104;
2806000;"Powiat giżycki";806;819;802;
2807000;"Powiat iławski";1173;1073;998;
2808000;"Powiat kętrzyński";984;867;862;
2809000;"Powiat lidzbarski";573;577;555;
2810000;"Powiat mrągowski";684;611;618;
2811000;"Powiat nidzicki";441;421;444;
2812000;"Powiat nowomiejski";606;577;447;
2813000;"Powiat olecki";496;411;345;
2814000;"Powiat olsztyński";1830;1687;1704;
2815000;"Powiat ostródzki";1405;1436;1333;
2816000;"Powiat piski";858;787;742;
2817000;"Powiat szczycieński";1022;941;850;
2818000;"Powiat gołdapski";357;356;347;
2819000;"Powiat węgorzewski";296;330;323;
3001000;"Powiat chodzieski";551;537;529;
3002000;"Powiat czarnkowsko-trzcianecki";983;895;924;
3003000;"Powiat gnieźnieński";1844;1718;1616;
3004000;"Powiat gostyński";1018;1097;986;
3005000;"Powiat grodziski";640;564;565;
3006000;"Powiat jarociński";829;864;801;
3007000;"Powiat kaliski";892;870;852;
3008000;"Powiat kępiński";636;743;648;
3009000;"Powiat kolski";1167;1215;926;
3010000;"Powiat koniński";1528;1506;1374;
3011000;"Powiat kościański";1000;961;769;
3012000;"Powiat krotoszyński";807;827;741;
3013000;"Powiat leszczyński";740;660;645;
3014000;"Powiat międzychodzki";470;441;401;
3015000;"Powiat nowotomyski";915;931;873;
3016000;"Powiat obornicki";670;669;654;
3017000;"Powiat ostrowski";1883;1625;1568;
3018000;"Powiat ostrzeszowski";643;600;595;
3019000;"Powiat pilski";1505;1597;1621;
3020000;"Powiat pleszewski";725;769;720;
3021000;"Powiat poznański";5077;4893;5072;
3022000;"Powiat rawicki";806;688;796;
3023000;"Powiat słupecki";735;679;565;
3024000;"Powiat szamotulski";1050;1070;1023;
3025000;"Powiat średzki";654;671;571;
3026000;"Powiat śremski";878;871;963;
3027000;"Powiat turecki";1060;988;846;
3028000;"Powiat wągrowiecki";907;796;778;
3029000;"Powiat wolsztyński";576;620;572;
3030000;"Powiat wrzesiński";948;927;938;
3031000;"Powiat złotowski";952;983;909;
3201000;"Powiat białogardzki";675;613;562;
3202000;"Powiat choszczeński";753;717;654;
3203000;"Powiat drawski";728;674;643;
3204000;"Powiat goleniowski";1164;977;1147;
3205000;"Powiat gryficki";875;753;869;
3206000;"Powiat gryfiński";1094;1096;1032;
3207000;"Powiat kamieński";637;635;613;
3208000;"Powiat kołobrzeski";1261;1055;996;
3209000;"Powiat koszaliński";1171;963;979;
3210000;"Powiat myśliborski";852;780;815;
3211000;"Powiat policki";1070;1138;1100;
3212000;"Powiat pyrzycki";526;537;500;
3213000;"Powiat sławieński";710;775;739;
3214000;"Powiat stargardzki";1568;1501;1707;
3215000;"Powiat szczecinecki";1080;982;1005;
3216000;"Powiat świdwiński";747;624;599;
3217000;"Powiat wałecki";748;652;662;
3218000;"Powiat łobeski";594;460;526;
