"Code";"Name";"against life and health;2020;[-]";"against life and health;2021;[-]";"against life and health;2022;[-]";"against life and health;2023;[-]";"against property;2020;[-]";"against property;2021;[-]";"against property;2022;[-]";"against property;2023;[-]";
3209000;"Powiat koszaliński";23;28;27;26;447;431;604;642;
3210000;"Powiat myśliborski";36;33;16;40;503;477;217;480;
3211000;"Powiat policki";28;18;21;23;485;577;504;563;
3212000;"Powiat pyrzycki";24;20;16;8;184;205;597;214;
3213000;"Powiat sławieński";30;18;14;14;407;408;383;310;
3214000;"Powiat stargardzki";73;46;42;34;1498;1063;993;1155;
3215000;"Powiat szczecinecki";27;23;12;22;426;464;394;509;
3216000;"Powiat świdwiński";14;22;26;9;308;414;286;264;
3217000;"Powiat wałecki";19;16;13;14;634;483;335;439;
3218000;"Powiat łobeski";19;20;40;17;229;272;639;292;
3261000;"City with powiat status Koszalin";40;43;44;52;1158;1886;1351;1725;
3262000;"City with powiat status Szczecin";258;214;206;192;5250;5549;6032;7021;
3263000;"City with powiat status Świnoujście";29;18;17;27;438;502;650;477;
