"Code";"Name";"net migration per 1000 population;total;2023;[person]";
1018000;"Powiat wieruszowski";-0.3;
1019000;"Powiat zduńskowolski";-1.0;
1020000;"Powiat zgierski";4.4;
1021000;"Powiat brzeziński";3.1;
1201000;"Powiat bocheński";0.7;
1202000;"Powiat brzeski";-0.4;
1203000;"Powiat chrzanowski";-1.5;
1204000;"Powiat dąbrowski";-1.5;
1205000;"Powiat gorlicki";-2.0;
1206000;"Powiat krakowski";7.7;
1207000;"Powiat limanowski";-0.8;
1208000;"Powiat miechowski";-0.5;
1209000;"Powiat myślenicki";2.7;
1210000;"Powiat nowosądecki";-1.3;
1211000;"Powiat nowotarski";-0.9;
1212000;"Powiat olkuski";-3.2;
1213000;"Powiat oświęcimski";-1.0;
1214000;"Powiat proszowicki";-1.4;
1215000;"Powiat suski";-0.1;
1216000;"Powiat tarnowski";-0.3;
1217000;"Powiat tatrzański";-1.7;
1218000;"Powiat wadowicki";-0.1;
1219000;"Powiat wielicki";11.4;
1401000;"Powiat białobrzeski";-1.4;
1402000;"Powiat ciechanowski";-1.5;
1403000;"Powiat garwoliński";-1.6;
1404000;"Powiat gostyniński";-2.4;
1405000;"Powiat grodziski";13.9;
1406000;"Powiat grójecki";0.1;
1407000;"Powiat kozienicki";-1.1;
1408000;"Powiat legionowski";13.9;
1409000;"Powiat lipski";-3.6;
1410000;"Powiat łosicki";-5.2;
1411000;"Powiat makowski";-4.0;
1412000;"Powiat miński";4.4;
1413000;"Powiat mławski";-3.4;
1414000;"Powiat nowodworski";1.9;
1415000;"Powiat ostrołęcki";1.2;
1416000;"Powiat ostrowski";-3.1;
1417000;"Powiat otwocki";4.6;
1418000;"Powiat piaseczyński";13.7;
1419000;"Powiat płocki";1.2;
1420000;"Powiat płoński";-0.2;
1421000;"Powiat pruszkowski";10.0;
1422000;"Powiat przasnyski";-4.6;
1423000;"Powiat przysuski";-4.4;
1424000;"Powiat pułtuski";0.2;
1425000;"Powiat radomski";2.3;
1426000;"Powiat siedlecki";1.3;
1427000;"Powiat sierpecki";-5.1;
1428000;"Powiat sochaczewski";0.5;
1429000;"Powiat sokołowski";-3.9;
1430000;"Powiat szydłowiecki";-2.7;
1432000;"Powiat warszawski zachodni";16.0;
1433000;"Powiat węgrowski";-2.7;
1434000;"Powiat wołomiński";8.1;
1435000;"Powiat wyszkowski";1.5;
1436000;"Powiat zwoleński";-2.6;
1437000;"Powiat żuromiński";-6.3;
1438000;"Powiat żyrardowski";1.4;
1601000;"Powiat brzeski";-1.6;
1602000;"Powiat głubczycki";-3.1;
1603000;"Powiat kędzierzyńsko-kozielski";-3.6;
1604000;"Powiat kluczborski";-3.9;
1605000;"Powiat krapkowicki";-1.8;
1606000;"Powiat namysłowski";0.2;
1607000;"Powiat nyski";-2.4;
1608000;"Powiat oleski";-2.7;
1609000;"Powiat opolski";4.3;
1610000;"Powiat prudnicki";-4.3;
1611000;"Powiat strzelecki";-2.6;
1801000;"Powiat bieszczadzki";-3.8;
1802000;"Powiat brzozowski";-3.9;
1803000;"Powiat dębicki";-1.3;
1804000;"Powiat jarosławski";-2.8;
1805000;"Powiat jasielski";-2.5;
